_id,SYMBOL,SERIES,MARKET_TYPE,TRADE_HIGH_PRICE,TRADE_LOW_PRICE,OPENING_PRICE,CLOSING_PRICE,LAST_TRADED_PRICE,PREVIOUS_CLS_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOTAL_TRADES,ISIN,TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,daily_change,symChange
6840341a0ff63e5551abaa27,BAJFINANCE,EQ,N,9039.5,8964.5,8975.0,8987.0,8994.5,8979.0,554493,4988888199.0,9660.0,6375.7,63399,INE296A01024,2025-06-04,2025-06-03T18:30:00.000Z,2025-06-04T11:55:06.396Z,2025-06-04T11:55:06.396Z,0,,8997.21,04-Jun-2025,,,
6841848a692502a9ae303295,BAJFINANCE,EQ,N,8987.0,8869.5,8987.0,8934.0,8925.0,8987.0,785332,7011336928.5,9660.0,6375.7,77620,INE296A01024,2025-06-05,2025-06-04T18:30:00.000Z,2025-06-05T11:50:34.981Z,2025-06-05T11:50:34.981Z,0,,8927.86,05-Jun-2025,,-0.005897407366195595,
68430d04358824362cdef491,BAJFINANCE,EQ,N,9434.0,8876.0,8945.0,9371.5,9372.0,8934.0,1978386,18340124005.5,9660.0,6375.7,193858,INE296A01024,2025-06-06,2025-06-05T18:30:00.000Z,2025-06-06T15:45:08.675Z,2025-06-06T15:45:08.675Z,0,,9270.25,06-Jun-2025,,0.04897022610252977,
6846caa9f05efb5b8886bc95,BAJFINANCE,EQ,N,9788.0,9403.0,9550.0,9607.5,9624.0,9371.5,2349601,22616217121.5,9788.0,6425.0,207488,INE296A01024,2025-06-09,2025-06-08T18:30:00.000Z,2025-06-09T11:51:05.458Z,2025-06-09T11:51:05.458Z,0,,9625.56,09-Jun-2025,,0.025182734887691405,
680b79805c8e81b21d475876,BAJFINANCE,EQ,N,9344.5,8990.0,9310.5,9112.0,9080.5,9301.0,1089354,9937787574.5,9660.0,6375.7,108445,INE296A01024,2025-04-25,2025-04-24T18:30:00.000Z,2025-04-25T12:01:04.465Z,2025-04-25T12:01:04.465Z,0,,9122.64,25-Apr-2025,,-0.051574290918553256,
680f6de648956281fc988a9f,BAJFINANCE,EQ,N,9125.0,9000.5,9080.0,9093.0,9075.0,9112.0,994656,9016919103.0,9660.0,6375.7,133616,INE296A01024,2025-04-28,2025-04-27T18:30:00.000Z,2025-04-28T12:00:38.329Z,2025-04-28T12:00:38.329Z,0,,9065.36,28-Apr-2025,,-0.002085162423178244,
6810bf62c8a06cbc7e32af29,BAJFINANCE,EQ,N,9146.0,8960.0,9130.0,9093.0,9105.0,9093.0,1176818,10658468207.5,9660.0,6375.7,169967,INE296A01024,2025-04-29,2025-04-28T18:30:00.000Z,2025-04-29T12:00:34.805Z,2025-04-29T12:00:34.805Z,0,,9057.02,29-Apr-2025,,0.0,
681210e392b6bce7d25dea5f,BAJFINANCE,EQ,N,8888.0,8556.0,8840.0,8634.5,8613.5,9093.0,3969057,34308503854.5,9660.0,6375.7,423669,INE296A01024,2025-04-30,2025-04-29T18:30:00.000Z,2025-04-30T12:00:35.011Z,2025-04-30T12:00:35.011Z,0,,8643.99,30-Apr-2025,,-0.05042340261739797,
6814b3e5d03c850a1494836b,BAJFINANCE,EQ,N,8915.0,8566.0,8575.5,8862.5,8868.0,8634.5,2202675,19246231281.5,9660.0,6375.7,182711,INE296A01024,2025-05-02,2025-05-01T18:30:00.000Z,2025-05-02T12:00:37.622Z,2025-05-02T12:00:37.622Z,0,,8737.66,02-May-2025,,0.026405698071689132,
6818a86318f1d8c619b485fc,BAJFINANCE,EQ,N,9033.0,8866.0,8877.5,8932.0,8940.0,8862.5,893061,7986738577.5,9660.0,6375.7,101616,INE296A01024,2025-05-05,2025-05-04T18:30:00.000Z,2025-05-05T12:00:35.280Z,2025-05-05T12:00:35.280Z,0,,8943.11,05-May-2025,,0.007842031029619223,
